Row,prolific_pid,block,correct_input,rt,srt_input_pressed,srt_sequence_index,srt_trial_index,trial_index,trial_type,was_input_correct,responses,experiment,useragent,survey_part
1,5b31c0811d2f710001fb83db,NULL,NULL,8575,NULL,NULL,NULL,0,html-button-response,NULL,NULL,NULL,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",NULL
2,5b31c0811d2f710001fb83db,1,3,550,3,1,1,1,unity-loader,1,NULL,"Level 1",NULL,NULL
3,5b31c0811d2f710001fb83db,1,1,501,0,2,2,1,unity-loader,0,NULL,"Level 1",NULL,NULL
4,5b31c0811d2f710001fb83db,1,1,2250,1,2,2,1,unity-loader,1,NULL,"Level 1",NULL,NULL
5,5b31c0811d2f710001fb83db,1,3,466,3,3,3,1,unity-loader,1,NULL,"Level 1",NULL,NULL
6,5b31c0811d2f710001fb83db,1,2,550,2,4,4,1,unity-loader,1,NULL,"Level 1",NULL,NULL
7,5b31c0811d2f710001fb83db,1,0,599,0,5,5,1,unity-loader,1,NULL,"Level 1",NULL,NULL
8,5b31c0811d2f710001fb83db,1,1,334,2,6,6,1,unity-loader,0,NULL,"Level 1",NULL,NULL
9,5b31c0811d2f710001fb83db,1,1,1700,1,6,6,1,unity-loader,1,NULL,"Level 1",NULL,NULL
10,5b31c0811d2f710001fb83db,1,0,566,0,7,7,1,unity-loader,1,NULL,"Level 1",NULL,NULL
11,5b31c0811d2f710001fb83db,1,2,635,2,8,8,1,unity-loader,1,NULL,"Level 1",NULL,NULL
12,5b31c0811d2f710001fb83db,1,1,632,1,9,9,1,unity-loader,1,NULL,"Level 1",NULL,NULL
13,5b31c0811d2f710001fb83db,1,0,567,0,10,10,1,unity-loader,1,NULL,"Level 1",NULL,NULL
14,5b31c0811d2f710001fb83db,1,3,468,3,11,11,1,unity-loader,1,NULL,"Level 1",NULL,NULL
15,5b31c0811d2f710001fb83db,1,2,385,1,12,12,1,unity-loader,0,NULL,"Level 1",NULL,NULL
16,5b31c0811d2f710001fb83db,1,2,1450,2,12,12,1,unity-loader,1,NULL,,NULL,NULL
17,5b31c0811d2f710001fb83db,2,3,382,3,1,1,1,unity-loader,1,NULL,"Level 1",NULL,NULL
18,5b31c0811d2f710001fb83db,2,1,534,1,2,2,1,unity-loader,1,NULL,"Level 1",NULL,NULL
19,5b31c0811d2f710001fb83db,2,3,317,3,3,3,1,unity-loader,1,NULL,"Level 1",NULL,NULL
20,5b31c0811d2f710001fb83db,2,2,418,2,4,4,1,unity-loader,1,NULL,"Level 1",NULL,NULL
21,5b31c0811d2f710001fb83db,2,0,416,0,5,5,1,unity-loader,1,NULL,"Level 1",NULL,NULL
22,5b31c0811d2f710001fb83db,2,1,350,2,6,6,1,unity-loader,0,NULL,"Level 1",NULL,NULL
23,5b31c0811d2f710001fb83db,2,1,1483,1,6,6,1,unity-loader,1,NULL,"Level 1",NULL,NULL
24,5b31c0811d2f710001fb83db,2,0,335,1,7,7,1,unity-loader,0,NULL,"Level 1",NULL,NULL
25,5b31c0811d2f710001fb83db,2,0,1733,0,7,7,1,unity-loader,1,NULL,"Level 1",NULL,NULL
26,5b31c0811d2f710001fb83db,2,2,233,3,8,8,1,unity-loader,0,NULL,"Level 1",NULL,NULL
27,5b31c0811d2f710001fb83db,2,2,1449,2,8,8,1,unity-loader,1,NULL,"Level 1",NULL,NULL
28,5b31c0811d2f710001fb83db,2,1,400,1,9,9,1,unity-loader,1,NULL,"Level 1",NULL,NULL
29,5b31c0811d2f710001fb83db,2,0,449,0,10,10,1,unity-loader,1,NULL,"Level 1",NULL,NULL
30,5b31c0811d2f710001fb83db,2,3,282,3,11,11,1,unity-loader,1,NULL,"Level 1",NULL,NULL
31,5b31c0811d2f710001fb83db,2,2,401,2,12,12,1,unity-loader,1,NULL,,NULL,NULL
32,5b31c0811d2f710001fb83db,3,3,385,3,1,1,1,unity-loader,1,NULL,"Level 1",NULL,NULL
33,5b31c0811d2f710001fb83db,3,1,384,1,2,2,1,unity-loader,1,NULL,"Level 1",NULL,NULL
34,5b31c0811d2f710001fb83db,3,3,349,3,3,3,1,unity-loader,1,NULL,"Level 1",NULL,NULL
35,5b31c0811d2f710001fb83db,3,2,402,2,4,4,1,unity-loader,1,NULL,"Level 1",NULL,NULL
36,5b31c0811d2f710001fb83db,3,0,284,0,5,5,1,unity-loader,1,NULL,"Level 1",NULL,NULL
37,5b31c0811d2f710001fb83db,3,1,417,2,6,6,1,unity-loader,0,NULL,"Level 1",NULL,NULL
38,5b31c0811d2f710001fb83db,3,1,1532,1,6,6,1,unity-loader,1,NULL,"Level 1",NULL,NULL
39,5b31c0811d2f710001fb83db,3,0,585,0,7,7,1,unity-loader,1,NULL,"Level 1",NULL,NULL
40,5b31c0811d2f710001fb83db,3,2,367,2,8,8,1,unity-loader,1,NULL,"Level 1",NULL,NULL
41,5b31c0811d2f710001fb83db,3,1,450,1,9,9,1,unity-loader,1,NULL,"Level 1",NULL,NULL
42,5b31c0811d2f710001fb83db,3,0,366,0,10,10,1,unity-loader,1,NULL,"Level 1",NULL,NULL
43,5b31c0811d2f710001fb83db,3,3,435,3,11,11,1,unity-loader,1,NULL,"Level 1",NULL,NULL
44,5b31c0811d2f710001fb83db,3,2,499,2,12,12,1,unity-loader,1,NULL,,NULL,NULL
45,5b31c0811d2f710001fb83db,4,3,318,3,1,1,1,unity-loader,1,NULL,"Level 1",NULL,NULL
46,5b31c0811d2f710001fb83db,4,1,366,1,2,2,1,unity-loader,1,NULL,"Level 1",NULL,NULL
47,5b31c0811d2f710001fb83db,4,3,249,3,3,3,1,unity-loader,1,NULL,"Level 1",NULL,NULL
48,5b31c0811d2f710001fb83db,4,2,316,2,4,4,1,unity-loader,1,NULL,"Level 1",NULL,NULL
49,5b31c0811d2f710001fb83db,4,0,385,0,5,5,1,unity-loader,1,NULL,"Level 1",NULL,NULL
50,5b31c0811d2f710001fb83db,4,1,350,1,6,6,1,unity-loader,1,NULL,"Level 1",NULL,NULL
51,5b31c0811d2f710001fb83db,4,0,334,0,7,7,1,unity-loader,1,NULL,"Level 1",NULL,NULL
52,5b31c0811d2f710001fb83db,4,2,318,2,8,8,1,unity-loader,1,NULL,"Level 1",NULL,NULL
53,5b31c0811d2f710001fb83db,4,1,434,1,9,9,1,unity-loader,1,NULL,"Level 1",NULL,NULL
54,5b31c0811d2f710001fb83db,4,0,317,0,10,10,1,unity-loader,1,NULL,"Level 1",NULL,NULL
55,5b31c0811d2f710001fb83db,4,3,366,3,11,11,1,unity-loader,1,NULL,"Level 1",NULL,NULL
56,5b31c0811d2f710001fb83db,4,2,350,2,12,12,1,unity-loader,1,NULL,,NULL,NULL
